Marca,Modelo,Fallo,Solucion,Fecha
Apple,iPhone 14,Cámara falla,Reemplazo de módulo,2023-02-07 20:28:00
Sony,Xperia 1,WiFi no funciona,Revisión completa,2024-09-17 10:22:00
Xiaomi,Redmi 9,No reconoce SIM,Reparación de placa,2024-08-28 12:40:00
Apple,iPhone 14,Cámara falla,Reparación de placa,2023-06-12 07:31:00
Huawei,Y7,WiFi no funciona,Cambio de flex,2024-07-23 23:10:00
Oppo,A54,Se reinicia solo,Revisión completa,2024-08-14 00:03:00
Nokia,3.2,No enciende,Reparación de placa,2023-09-29 11:38:00
Apple,iPhone 11,Batería no carga,Reparación de placa,2024-07-27 16:19:00
Huawei,Y9,Se calienta,Cambio de pantalla,2023-08-10 11:21:00
Motorola,Moto G7,Batería no carga,Cambio de pantalla,2023-05-07 16:23:00
Sony,Xperia 5,Se reinicia solo,Cambio de pantalla,2024-05-22 07:38:00
Nokia,5.3,Se reinicia solo,Limpieza de puerto,2023-11-28 22:25:00
Huawei,P30,Se calienta,Soldadura puntual,2023-09-01 05:35:00
Xiaomi,Redmi 9,No enciende,Reemplazo de módulo,2024-11-24 21:41:00
Oppo,A54,Se reinicia solo,Cambio de flex,2024-05-07 11:07:00
Nokia,2.1,Cámara falla,Reparación de placa,2024-04-03 23:19:00
Oppo,A54,No vibra,Reemplazo de módulo,2023-01-16 03:51:00
Xiaomi,Poco X3,WiFi no funciona,Reemplazo de módulo,2024-09-06 20:41:00
Xiaomi,Poco M4,Pantalla rota,Cambio de pantalla,2023-02-10 13:24:00
Huawei,P20,No enciende,Reemplazo de módulo,2024-10-27 13:49:00
Nokia,7.2,Se calienta,Cambio de pantalla,2024-03-06 04:42:00
Huawei,P20,Pantalla rota,Revisión completa,2024-09-05 06:40:00
Xiaomi,Redmi 10,No vibra,Reparación de placa,2023-10-09 18:15:00
Nokia,2.1,Cámara falla,Reemplazo de módulo,2023-07-23 01:06:00
Samsung,S22,No vibra,Reparación de placa,2024-11-27 07:10:00
Oppo,A57,No enciende,Revisión completa,2023-01-24 08:53:00
Huawei,P20,No reconoce SIM,Limpieza de puerto,2023-08-29 23:11:00
Apple,iPhone 11,No vibra,Reparación de placa,2024-07-05 23:39:00
Sony,Xperia L3,Pantalla rota,Revisión completa,2023-01-17 18:34:00
Xiaomi,Mi 10,WiFi no funciona,Soldadura puntual,2023-10-15 21:39:00
Motorola,Moto G7,Sonido bajo,Limpieza de puerto,2024-05-30 01:10:00
Sony,Xperia 5,Cámara falla,Revisión completa,2023-05-29 00:17:00
Nokia,5.3,WiFi no funciona,Reparación de placa,2024-06-18 22:38:00
Xiaomi,Mi 11,Cámara falla,Cambio de flex,2024-02-05 05:24:00
Sony,Xperia 10,Pantalla rota,Cambio de pantalla,2023-06-08 19:28:00
Samsung,S20,Batería no carga,Cambio de flex,2024-02-20 06:53:00
Oppo,A57,Se reinicia solo,Revisión completa,2023-10-14 19:44:00
Xiaomi,Mi 11,No reconoce SIM,Reparación de placa,2023-09-11 14:46:00
Xiaomi,Mi 11,Pantalla rota,Revisión completa,2024-02-10 05:05:00
Nokia,6.1,Pantalla rota,Cambio de pantalla,2024-06-23 19:28:00
Motorola,Moto G7,Pantalla rota,Limpieza de puerto,2023-08-24 21:03:00
Motorola,Moto G9,No reconoce SIM,Reemplazo de módulo,2024-09-15 14:31:00
Motorola,Moto G30,Batería no carga,Revisión completa,2024-04-23 22:03:00
Samsung,J7,Batería no carga,Limpieza de puerto,2023-07-30 00:00:00
Huawei,Y7,Se calienta,Cambio de flex,2023-09-29 02:23:00
Nokia,7.2,No enciende,Actualización de software,2023-06-27 13:13:00
Motorola,Moto G8,Se calienta,Limpieza de puerto,2024-07-07 11:32:00
Huawei,P40,Batería no carga,Cambio de flex,2023-08-20 09:28:00
Samsung,S21,Cámara falla,Actualización de software,2023-04-03 19:27:00
Huawei,P40,Pantalla rota,Limpieza de puerto,2023-10-03 19:33:00
Apple,iPhone 14,Cámara falla,Reparación de placa,2024-06-03 14:41:00
Samsung,J7,Pantalla rota,Cambio de batería,2023-06-23 16:55:00
Motorola,Moto G7,No vibra,Reparación de placa,2024-06-20 22:42:00
Huawei,Y9,Cámara falla,Reparación de placa,2023-08-20 05:25:00
Samsung,S20,Sonido bajo,Cambio de flex,2023-05-17 14:21:00
Samsung,S21,Se calienta,Revisión completa,2023-01-31 15:11:00
Oppo,A57,No vibra,Limpieza de puerto,2024-09-26 18:33:00
Sony,Xperia 10,Sonido bajo,Cambio de flex,2024-06-29 12:22:00
Oppo,A54,Batería no carga,Revisión completa,2023-03-22 13:41:00
Motorola,Moto G8,Sonido bajo,Cambio de pantalla,2023-06-28 18:04:00
Apple,iPhone X,Cámara falla,Cambio de flex,2024-05-14 22:53:00
Apple,iPhone 11,Se reinicia solo,Cambio de pantalla,2023-10-19 18:48:00
Oppo,A54,Se reinicia solo,Cambio de pantalla,2024-11-04 09:24:00
Samsung,S22,No reconoce SIM,Cambio de batería,2024-05-02 09:16:00
Motorola,Moto G8,Se calienta,Actualización de software,2023-05-17 09:00:00
Oppo,A54,No enciende,Revisión completa,2024-03-29 23:40:00
Motorola,Moto G7,Pantalla rota,Revisión completa,2024-10-15 06:01:00
Sony,Xperia L3,No enciende,Reparación de placa,2024-04-21 02:27:00
Samsung,A10,Pantalla rota,Cambio de pantalla,2024-10-11 19:22:00
Apple,iPhone 8,Sonido bajo,Cambio de pantalla,2024-08-16 09:44:00
Huawei,P20,Sonido bajo,Reemplazo de módulo,2024-11-21 07:46:00
Huawei,P30,WiFi no funciona,Cambio de pantalla,2023-06-10 04:40:00
Nokia,2.1,No enciende,Cambio de batería,2024-11-23 05:24:00
Samsung,S22,Batería no carga,Cambio de pantalla,2024-05-11 22:13:00
Xiaomi,Mi 11,Sonido bajo,Actualización de software,2023-06-01 14:29:00
Motorola,Moto G7,Se calienta,Cambio de pantalla,2024-02-17 21:08:00
Samsung,S21,Se calienta,Reparación de placa,2024-08-09 00:12:00
Apple,iPhone 12,Sonido bajo,Revisión completa,2023-08-18 21:05:00
Nokia,6.1,No reconoce SIM,Limpieza de puerto,2024-03-13 18:53:00
Oppo,Reno 5,WiFi no funciona,Cambio de batería,2024-05-19 12:59:00
Nokia,6.1,No vibra,Cambio de flex,2024-06-10 12:42:00
Samsung,A20,No reconoce SIM,Soldadura puntual,2024-02-11 19:09:00
Samsung,M12,Batería no carga,Cambio de pantalla,2023-10-31 14:20:00
Motorola,Moto E6,WiFi no funciona,Cambio de batería,2023-10-09 17:49:00
Xiaomi,Mi 11,Cámara falla,Reparación de placa,2024-09-01 14:32:00
Nokia,6.1,Batería no carga,Cambio de batería,2024-09-21 20:42:00
Huawei,Y7,WiFi no funciona,Reemplazo de módulo,2024-02-18 08:02:00
Nokia,2.1,Batería no carga,Cambio de batería,2023-09-10 20:32:00
Nokia,7.2,WiFi no funciona,Cambio de flex,2023-10-15 10:48:00
Nokia,7.2,Sonido bajo,Cambio de pantalla,2024-08-27 20:56:00
Samsung,S20,No enciende,Cambio de flex,2023-05-01 09:01:00
Nokia,3.2,Cámara falla,Cambio de flex,2023-04-25 02:29:00
Oppo,Reno 6,Pantalla rota,Soldadura puntual,2023-06-02 00:16:00
Xiaomi,Redmi 9,WiFi no funciona,Cambio de pantalla,2023-09-23 00:20:00
Sony,Xperia 1,Se reinicia solo,Limpieza de puerto,2024-03-24 22:57:00
Apple,iPhone 13,Batería no carga,Actualización de software,2024-10-15 16:07:00
Xiaomi,Mi 11,No enciende,Soldadura puntual,2024-10-09 02:41:00
Motorola,Moto G30,Pantalla rota,Limpieza de puerto,2023-09-11 18:29:00
Samsung,M12,Pantalla rota,Cambio de flex,2024-03-16 21:22:00
Nokia,2.1,No reconoce SIM,Soldadura puntual,2024-06-08 15:18:00
Apple,iPhone 12,Batería no carga,Cambio de batería,2023-03-09 20:06:00
Samsung,S20,Se reinicia solo,Cambio de pantalla,2023-05-06 03:12:00
Apple,iPhone 11,Se calienta,Limpieza de puerto,2023-04-09 07:39:00
Motorola,Moto G9,Se calienta,Limpieza de puerto,2024-11-20 19:40:00
Sony,Xperia 5,No vibra,Limpieza de puerto,2024-04-08 21:01:00
Apple,iPhone 8,No vibra,Limpieza de puerto,2023-04-19 03:24:00
Nokia,5.3,Cámara falla,Reparación de placa,2024-05-27 23:59:00
Motorola,Moto G8,Se reinicia solo,Revisión completa,2023-05-03 11:09:00
Xiaomi,Poco M4,Se calienta,Limpieza de puerto,2024-06-01 20:03:00
Nokia,3.2,No enciende,Reparación de placa,2024-06-09 13:53:00
Samsung,M12,No reconoce SIM,Cambio de batería,2023-10-01 14:12:00
Apple,iPhone 14,Pantalla rota,Reparación de placa,2024-07-04 21:51:00
Oppo,A57,Se calienta,Soldadura puntual,2024-03-25 23:07:00
Xiaomi,Poco M4,No vibra,Cambio de flex,2023-09-05 17:26:00
Nokia,6.1,WiFi no funciona,Cambio de batería,2024-03-24 05:04:00
Nokia,2.1,No reconoce SIM,Revisión completa,2023-03-08 10:08:00
Apple,iPhone 12,No enciende,Soldadura puntual,2024-01-17 14:32:00
Nokia,7.2,No vibra,Reparación de placa,2023-06-05 06:36:00
Samsung,J7,Se reinicia solo,Actualización de software,2023-11-10 06:28:00
Xiaomi,Poco X3,WiFi no funciona,Soldadura puntual,2024-06-01 12:45:00
Huawei,P40,Pantalla rota,Cambio de pantalla,2024-01-08 19:39:00
Samsung,A20,WiFi no funciona,Limpieza de puerto,2024-08-30 17:47:00
Xiaomi,Mi 11,Cámara falla,Actualización de software,2023-01-22 14:47:00
Xiaomi,Poco X3,Batería no carga,Cambio de pantalla,2023-12-17 06:53:00
Motorola,Moto G9,Sonido bajo,Reparación de placa,2023-10-28 11:20:00
Oppo,A15,No enciende,Cambio de flex,2024-06-02 18:31:00
Xiaomi,Mi 11,WiFi no funciona,Reparación de placa,2024-05-27 17:37:00
Nokia,5.3,Se reinicia solo,Revisión completa,2023-10-18 15:15:00
Huawei,Y9,Se calienta,Cambio de pantalla,2023-05-21 03:34:00
Sony,Xperia 5,No reconoce SIM,Actualización de software,2023-07-14 15:24:00
Oppo,A57,Se calienta,Reemplazo de módulo,2024-04-08 16:23:00
Sony,Xperia 10,Pantalla rota,Cambio de batería,2024-03-23 23:09:00
Motorola,Moto G9,Sonido bajo,Reemplazo de módulo,2023-06-24 02:45:00
Sony,Xperia 1,Sonido bajo,Cambio de batería,2023-12-25 10:34:00
Oppo,A15,Sonido bajo,Reemplazo de módulo,2024-06-08 08:50:00
Motorola,Moto G7,No reconoce SIM,Cambio de flex,2024-09-30 09:37:00
Huawei,Y7,No vibra,Cambio de batería,2024-01-16 12:40:00
Oppo,A57,Se reinicia solo,Reparación de placa,2024-03-15 18:02:00
Huawei,P30,Sonido bajo,Cambio de flex,2023-05-28 09:35:00
Sony,Xperia 5,Pantalla rota,Cambio de flex,2024-11-15 16:23:00
Oppo,A15,No vibra,Reparación de placa,2023-03-09 03:19:00
Oppo,A15,No enciende,Reemplazo de módulo,2023-09-26 00:23:00
Motorola,Moto G8,Pantalla rota,Reparación de placa,2023-10-02 06:33:00
Sony,Xperia 5,Se reinicia solo,Cambio de pantalla,2024-08-31 11:54:00
Motorola,Moto E6,Cámara falla,Cambio de batería,2024-07-25 09:21:00
Sony,Xperia 1,No enciende,Actualización de software,2024-08-11 17:45:00
Motorola,Moto G9,Pantalla rota,Actualización de software,2023-06-08 04:17:00
Motorola,Moto G8,No reconoce SIM,Cambio de flex,2023-04-16 22:15:00
Xiaomi,Mi 11,Pantalla rota,Actualización de software,2024-09-05 00:40:00
Xiaomi,Poco X3,Pantalla rota,Reparación de placa,2024-09-02 19:24:00
Samsung,S21,No reconoce SIM,Soldadura puntual,2024-02-14 20:37:00
Sony,Xperia 10,Se reinicia solo,Actualización de software,2023-02-16 20:27:00
Sony,Xperia 1,Pantalla rota,Cambio de flex,2024-06-20 19:54:00
Xiaomi,Mi 10,WiFi no funciona,Soldadura puntual,2024-09-08 05:01:00
Oppo,Reno 5,Se reinicia solo,Cambio de pantalla,2024-02-13 13:30:00
Samsung,S22,No vibra,Actualización de software,2023-03-07 12:14:00
Sony,Xperia 1,WiFi no funciona,Cambio de flex,2024-04-23 02:27:00
Samsung,S22,Sonido bajo,Limpieza de puerto,2023-11-03 07:58:00
Xiaomi,Mi 11,Sonido bajo,Cambio de batería,2023-07-04 16:28:00
Motorola,Moto G30,No enciende,Cambio de batería,2023-04-06 12:23:00
Sony,Xperia 1,Se reinicia solo,Cambio de batería,2023-06-21 22:48:00
Apple,iPhone 14,No reconoce SIM,Reemplazo de módulo,2024-03-29 23:04:00
Xiaomi,Poco X3,Batería no carga,Reparación de placa,2024-09-17 23:49:00
Samsung,M12,Batería no carga,Cambio de batería,2023-09-23 13:25:00
Apple,iPhone 11,Se calienta,Soldadura puntual,2024-05-10 21:10:00
Huawei,Y7,Sonido bajo,Limpieza de puerto,2024-04-02 08:05:00
Samsung,S20,WiFi no funciona,Reparación de placa,2023-08-01 15:16:00
Xiaomi,Poco X3,WiFi no funciona,Actualización de software,2024-01-15 10:24:00
Xiaomi,Poco M4,Pantalla rota,Reparación de placa,2023-02-21 00:10:00
Apple,iPhone 12,No reconoce SIM,Cambio de pantalla,2024-03-21 16:45:00
Huawei,P20,Se calienta,Reemplazo de módulo,2024-11-09 05:39:00
Oppo,Reno 6,No enciende,Actualización de software,2023-09-13 13:09:00
Xiaomi,Redmi 10,Se calienta,Revisión completa,2023-05-19 05:38:00
Apple,iPhone 12,Pantalla rota,Actualización de software,2023-07-31 16:55:00
Motorola,Moto G9,Cámara falla,Revisión completa,2023-03-20 12:22:00
Samsung,J7,No vibra,Limpieza de puerto,2024-01-29 16:12:00
Nokia,7.2,Se reinicia solo,Cambio de flex,2023-06-02 04:06:00
Oppo,Reno 6,No enciende,Cambio de flex,2023-10-31 16:56:00
Apple,iPhone 12,WiFi no funciona,Cambio de flex,2023-03-04 16:14:00
Motorola,Moto G9,No reconoce SIM,Reemplazo de módulo,2024-07-23 00:36:00
Oppo,A57,Sonido bajo,Reparación de placa,2023-03-21 16:43:00
Sony,Xperia 10,Se calienta,Reparación de placa,2023-04-17 01:03:00
Huawei,Y7,Cámara falla,Soldadura puntual,2024-09-24 10:02:00
Oppo,A15,Pantalla rota,Cambio de batería,2023-11-07 14:53:00
Huawei,P30,Batería no carga,Reemplazo de módulo,2023-02-28 15:49:00
Huawei,P30,Pantalla rota,Reparación de placa,2024-09-01 20:53:00
Sony,Xperia 5,Se reinicia solo,Reparación de placa,2023-06-17 02:15:00
Oppo,Reno 5,Se reinicia solo,Cambio de pantalla,2024-08-05 07:27:00
Apple,iPhone 8,WiFi no funciona,Reparación de placa,2024-02-25 10:02:00
Xiaomi,Redmi 10,No enciende,Limpieza de puerto,2024-10-27 04:45:00
Oppo,Reno 6,Pantalla rota,Actualización de software,2024-10-22 12:21:00
Apple,iPhone 14,No enciende,Reemplazo de módulo,2024-06-17 21:06:00
Motorola,Moto G30,Sonido bajo,Soldadura puntual,2024-03-11 21:46:00
Motorola,Moto E6,Pantalla rota,Cambio de flex,2023-07-23 21:00:00
Sony,Xperia 10,Se calienta,Soldadura puntual,2024-08-20 09:50:00
Huawei,P30,Se reinicia solo,Reemplazo de módulo,2023-05-04 16:50:00
Oppo,A15,No vibra,Limpieza de puerto,2024-05-08 17:56:00
Oppo,A57,Sonido bajo,Cambio de pantalla,2023-04-07 02:38:00
Samsung,S22,No enciende,Cambio de pantalla,2024-01-13 16:35:00
Huawei,P20,Sonido bajo,Revisión completa,2023-01-22 22:40:00
Nokia,2.1,Se calienta,Reemplazo de módulo,2024-06-25 19:55:00
Xiaomi,Redmi 10,Se reinicia solo,Revisión completa,2023-09-21 02:51:00
Oppo,A57,WiFi no funciona,Revisión completa,2024-04-13 01:44:00
Xiaomi,Redmi 10,Se reinicia solo,Cambio de flex,2023-03-02 21:54:00
Huawei,P30,Pantalla rota,Reemplazo de módulo,2023-05-19 02:18:00
Xiaomi,Redmi 10,WiFi no funciona,Revisión completa,2023-07-18 18:26:00
Huawei,Y7,No reconoce SIM,Limpieza de puerto,2023-09-30 20:27:00
Nokia,3.2,WiFi no funciona,Cambio de flex,2024-08-15 18:08:00
Apple,iPhone 14,No reconoce SIM,Cambio de flex,2023-02-02 21:37:00
Huawei,P40,Cámara falla,Cambio de batería,2024-01-01 01:12:00
Oppo,Reno 6,Pantalla rota,Cambio de pantalla,2024-11-30 07:29:00
Nokia,5.3,Se calienta,Reemplazo de módulo,2024-04-03 06:15:00
Xiaomi,Poco X3,Sonido bajo,Cambio de pantalla,2023-10-06 12:15:00
Nokia,7.2,Cámara falla,Limpieza de puerto,2023-12-20 18:52:00
Sony,Xperia 5,No reconoce SIM,Revisión completa,2024-05-27 17:55:00
Sony,Xperia 5,No reconoce SIM,Cambio de pantalla,2023-03-12 04:08:00
Motorola,Moto E6,WiFi no funciona,Cambio de flex,2024-02-13 22:03:00
Xiaomi,Redmi 10,Cámara falla,Reparación de placa,2024-11-23 10:55:00
Oppo,Reno 5,No enciende,Cambio de flex,2023-05-27 14:51:00
Huawei,P30,Pantalla rota,Cambio de flex,2023-01-07 13:21:00
Nokia,7.2,WiFi no funciona,Cambio de pantalla,2024-10-10 04:57:00
Nokia,5.3,Cámara falla,Reparación de placa,2024-03-01 18:41:00
Apple,iPhone 13,No vibra,Reemplazo de módulo,2023-01-13 05:30:00
Oppo,A15,No vibra,Reparación de placa,2023-08-02 17:33:00
Xiaomi,Redmi 10,No vibra,Reparación de placa,2023-06-04 22:22:00
Oppo,A54,Pantalla rota,Cambio de flex,2024-03-05 02:24:00
Motorola,Moto G9,No vibra,Reemplazo de módulo,2024-10-11 10:07:00
Huawei,Y9,No reconoce SIM,Reparación de placa,2023-03-28 08:55:00
Apple,iPhone 11,No reconoce SIM,Reparación de placa,2024-07-13 20:06:00
Oppo,Reno 6,Se reinicia solo,Actualización de software,2023-09-10 14:10:00
Huawei,Y9,Se reinicia solo,Soldadura puntual,2023-09-26 20:31:00
Motorola,Moto G7,Se reinicia solo,Cambio de batería,2023-04-01 00:29:00
Oppo,Reno 6,Se calienta,Soldadura puntual,2023-01-13 01:40:00
Oppo,Reno 5,No reconoce SIM,Limpieza de puerto,2023-10-30 07:56:00
Sony,Xperia L3,WiFi no funciona,Cambio de pantalla,2024-10-27 01:37:00
Oppo,A15,No reconoce SIM,Soldadura puntual,2023-10-25 07:11:00
Motorola,Moto G9,No reconoce SIM,Reparación de placa,2024-01-09 15:25:00
Xiaomi,Mi 11,Se reinicia solo,Soldadura puntual,2024-08-14 16:31:00
Sony,Xperia 5,Se calienta,Limpieza de puerto,2023-10-06 04:12:00
Samsung,A30,Batería no carga,Actualización de software,2023-01-22 06:21:00
Huawei,P20,No reconoce SIM,Cambio de flex,2023-11-20 18:42:00
Oppo,Reno 5,No enciende,Cambio de flex,2023-09-05 13:29:00
Apple,iPhone 13,No enciende,Limpieza de puerto,2024-04-07 10:47:00
Apple,iPhone 11,No reconoce SIM,Actualización de software,2023-12-09 13:29:00
Apple,iPhone X,WiFi no funciona,Cambio de batería,2024-11-15 19:31:00
Xiaomi,Redmi 9,WiFi no funciona,Reemplazo de módulo,2023-12-21 16:58:00
Nokia,6.1,No enciende,Cambio de flex,2024-03-30 18:54:00
Samsung,M12,Batería no carga,Cambio de pantalla,2024-06-27 17:17:00
Apple,iPhone 13,Batería no carga,Cambio de pantalla,2023-10-17 09:59:00
Nokia,3.2,Sonido bajo,Soldadura puntual,2023-05-16 11:57:00
Huawei,P20,WiFi no funciona,Revisión completa,2024-08-01 17:23:00
Oppo,A57,Pantalla rota,Soldadura puntual,2024-03-06 13:28:00
Nokia,7.2,No reconoce SIM,Reparación de placa,2024-08-14 05:07:00
Apple,iPhone 12,No reconoce SIM,Reemplazo de módulo,2024-06-18 23:33:00
Oppo,A15,Se reinicia solo,Cambio de pantalla,2024-01-19 18:07:00
Samsung,A20,No vibra,Revisión completa,2024-03-15 05:22:00
Sony,Xperia 5,Pantalla rota,Cambio de flex,2024-05-14 14:41:00
Sony,Xperia 10,No vibra,Actualización de software,2024-06-18 17:08:00
Huawei,P40,Se reinicia solo,Reemplazo de módulo,2023-09-09 01:44:00
Xiaomi,Poco M4,Batería no carga,Limpieza de puerto,2023-10-31 16:00:00
Samsung,M12,Se calienta,Reemplazo de módulo,2023-05-06 20:34:00
Samsung,J7,Sonido bajo,Reparación de placa,2024-09-13 07:05:00
Nokia,2.1,Batería no carga,Reemplazo de módulo,2024-04-14 22:14:00
Huawei,P20,Batería no carga,Cambio de pantalla,2023-08-30 04:57:00
Oppo,A15,No enciende,Reparación de placa,2024-10-22 22:41:00
Samsung,S22,Pantalla rota,Cambio de pantalla,2024-07-31 12:44:00
Apple,iPhone 8,Batería no carga,Revisión completa,2023-06-10 20:00:00
Xiaomi,Poco M4,WiFi no funciona,Cambio de batería,2024-12-01 23:41:00
Nokia,5.3,Se reinicia solo,Limpieza de puerto,2023-07-27 02:19:00
Apple,iPhone 14,Se calienta,Reparación de placa,2024-10-28 07:40:00
Motorola,Moto G30,Se reinicia solo,Cambio de flex,2023-01-23 05:32:00
Xiaomi,Mi 11,No reconoce SIM,Revisión completa,2024-03-23 11:21:00
Sony,Xperia 5,Pantalla rota,Cambio de flex,2024-02-07 21:13:00
Huawei,Y7,Batería no carga,Soldadura puntual,2024-10-09 08:25:00
Huawei,Y9,Se reinicia solo,Soldadura puntual,2024-10-10 01:21:00
Huawei,Y7,Se calienta,Revisión completa,2024-06-29 22:27:00
Apple,iPhone 12,Se calienta,Cambio de batería,2024-08-31 10:39:00
Apple,iPhone 11,Pantalla rota,Cambio de flex,2023-08-04 14:21:00
Sony,Xperia 5,Sonido bajo,Reemplazo de módulo,2023-07-29 00:20:00
Apple,iPhone 11,Batería no carga,Reemplazo de módulo,2024-09-02 16:55:00
Sony,Xperia 10,WiFi no funciona,Reemplazo de módulo,2024-03-10 02:46:00
Sony,Xperia L3,Cámara falla,Cambio de batería,2023-02-12 07:38:00
Huawei,Y7,No enciende,Cambio de batería,2023-12-28 06:33:00
Nokia,3.2,Cámara falla,Limpieza de puerto,2024-11-13 20:32:00
Samsung,A10,Cámara falla,Cambio de batería,2024-11-24 02:19:00
Sony,Xperia 10,No vibra,Revisión completa,2023-04-21 18:17:00
Samsung,A10,No enciende,Reemplazo de módulo,2024-11-28 14:08:00
Sony,Xperia 5,Batería no carga,Limpieza de puerto,2024-10-30 04:50:00
Oppo,Reno 5,No enciende,Reparación de placa,2024-08-27 02:31:00
Huawei,P20,No reconoce SIM,Actualización de software,2023-08-28 14:13:00
Motorola,Moto G8,Sonido bajo,Reemplazo de módulo,2024-07-11 08:32:00
Huawei,Y7,Cámara falla,Cambio de batería,2024-01-18 18:49:00
Samsung,A10,WiFi no funciona,Reemplazo de módulo,2024-10-26 20:47:00
Oppo,A54,No reconoce SIM,Reparación de placa,2023-12-14 07:33:00
Sony,Xperia L3,Se calienta,Revisión completa,2023-09-04 07:29:00
Xiaomi,Mi 11,Se calienta,Actualización de software,2023-01-20 18:16:00
Nokia,5.3,No reconoce SIM,Actualización de software,2023-11-11 12:16:00
Nokia,7.2,Pantalla rota,Actualización de software,2024-02-13 16:01:00
Apple,iPhone X,Batería no carga,Revisión completa,2024-06-28 01:12:00
Xiaomi,Poco M4,WiFi no funciona,Limpieza de puerto,2023-06-30 15:00:00
Sony,Xperia 1,Sonido bajo,Cambio de pantalla,2024-08-08 22:38:00
Sony,Xperia 10,Se reinicia solo,Reemplazo de módulo,2024-09-01 20:22:00
Oppo,A15,Se reinicia solo,Cambio de flex,2023-12-26 23:03:00
Huawei,P30,No enciende,Cambio de pantalla,2024-06-16 14:52:00
Samsung,A20,No reconoce SIM,Cambio de batería,2023-07-27 23:42:00
Motorola,Moto G30,No vibra,Reemplazo de módulo,2024-02-10 14:41:00
Huawei,P20,Se calienta,Cambio de pantalla,2024-05-23 13:05:00
Huawei,Y7,Conector de carga,Cambiar el conector de carga,2025-12-09 17:04:41
